bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
4.546134999999999760e-03,1.611244000000000120e-04,7.439442000000000320e-04,3.452665999999999987e-05,1.971754999999999894e-04,4.600000000000000000e+01,1.978426034700000002e+02,-1.473741825100000069e+00,1.978426034999999956e+02,-1.473741799999999991e+00,2.061999999999999833e+00,1.512999999999999901e+00
2.573075000000000188e-03,1.544078999999999959e-04,7.367368999999999698e-04,3.452665999999999987e-05,1.108140999999999933e-04,3.800000000000000000e+01,1.978335513700000092e+02,-1.459615953799999977e+00,1.978335514000000046e+02,-1.459616000000000025e+00,2.491000000000000103e+00,1.449000000000000066e+00
9.472401999999999775e-04,9.490471999999999418e-05,7.417320999999999723e-04,3.452665999999999987e-05,1.069650000000000033e-04,1.200000000000000000e+01,1.978393471100000056e+02,-1.468290282199999908e+00,1.978393470999999977e+02,-1.468290300000000048e+00,1.300999999999999934e+00,9.370000000000000551e-01
3.951307999999999947e-04,5.638180999999999678e-05,7.388053000000000328e-04,3.452665999999999987e-05,1.097677000000000028e-04,6.000000000000000000e+00,1.978360538299999973e+02,-1.463416577200000068e+00,1.978360538000000020e+02,-1.463416599999999956e+00,7.960000000000000409e-01,5.000000000000000000e-01
1.380106000000000084e-03,1.079629000000000027e-04,7.372920999999999945e-04,3.452665999999999987e-05,1.490779999999999981e-04,1.800000000000000000e+01,1.978356814500000098e+02,-1.461557898599999961e+00,1.978356813999999986e+02,-1.461557900000000076e+00,1.405000000000000027e+00,1.171000000000000041e+00
4.825129000000000267e-04,6.905333000000000044e-05,7.434842999999999790e-04,3.452665999999999987e-05,8.341302999999999782e-05,7.000000000000000000e+00,1.978419622700000104e+02,-1.471235336499999935e+00,1.978419623000000058e+02,-1.471235300000000024e+00,1.558000000000000052e+00,4.490000000000000102e-01
1.314019999999999945e-03,1.150889000000000019e-04,7.433379999999999632e-04,3.452665999999999987e-05,1.069210999999999952e-04,2.100000000000000000e+01,1.978420810599999982e+02,-1.470900891499999918e+00,1.978420811000000015e+02,-1.470900899999999956e+00,1.699000000000000066e+00,1.217000000000000082e+00
8.011205999999999883e-04,8.914745999999999706e-05,7.405686000000000300e-04,3.452665999999999987e-05,7.813499999999999645e-05,1.000000000000000000e+01,1.978391332200000079e+02,-1.466493314400000081e+00,1.978391331999999920e+02,-1.466493300000000000e+00,1.733000000000000096e+00,5.190000000000000169e-01
2.320687000000000097e-04,5.146930999999999934e-05,7.436044999999999851e-04,3.452665999999999987e-05,7.541052999999999439e-05,4.000000000000000000e+00,1.978432635000000062e+02,-1.472838677199999946e+00,1.978432635000000062e+02,-1.472838700000000056e+00,7.580000000000000071e-01,4.490000000000000102e-01
1.549835999999999965e-03,1.239544999999999937e-04,7.345725999999999471e-04,3.452665999999999987e-05,1.121644000000000064e-04,2.500000000000000000e+01,1.978276615800000116e+02,-1.448835061400000068e+00,1.978276615999999990e+02,-1.448835099999999931e+00,1.816000000000000059e+00,1.316000000000000059e+00
