bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
8.295267000000000482e-04,6.524740999999999538e-05,1.075732999999999941e-03,1.849590000000000023e-05,4.969769999999999684e-05,2.100000000000000000e+01,1.978673776699999962e+02,-1.449650776699999977e+00,1.978673776999999916e+02,-1.449650799999999906e+00,1.520999999999999908e+00,1.064000000000000057e+00
3.465438999999999936e+00,7.384991000000000255e-04,1.077173999999999970e-03,1.849590000000000023e-05,2.167185000000000084e-01,3.253000000000000000e+03,1.978680088700000113e+02,-1.439168554999999960e+00,1.978680089000000066e+02,-1.439168599999999909e+00,5.623999999999999666e+00,5.144000000000000128e+00
7.353467999999999507e-04,5.084036999999999991e-05,1.075737999999999911e-03,1.849590000000000023e-05,1.271900000000000070e-04,1.700000000000000000e+01,1.978299264199999925e+02,-1.393015687699999949e+00,1.978299264000000051e+02,-1.393015700000000079e+00,1.191000000000000059e+00,9.210000000000000409e-01
4.684403999999999790e-01,4.442439999999999974e-04,1.076052999999999992e-03,1.849590000000000023e-05,3.092386000000000093e-02,1.197000000000000000e+03,1.978547548500000062e+02,-1.418773695400000090e+00,1.978547548999999890e+02,-1.418773700000000026e+00,4.764999999999999680e+00,4.174999999999999822e+00
3.109075000000000207e-03,8.271618999999999858e-05,1.075640000000000103e-03,1.849590000000000023e-05,3.354014000000000106e-04,4.200000000000000000e+01,1.978436470700000029e+02,-1.412282492899999964e+00,1.978436470999999983e+02,-1.412282500000000107e+00,1.560000000000000053e+00,1.437000000000000055e+00
2.917338000000000223e-04,3.699181000000000116e-05,1.075800999999999927e-03,1.849590000000000023e-05,5.250819999999999983e-05,8.000000000000000000e+00,1.978709296000000109e+02,-1.454007497200000110e+00,1.978709296000000109e+02,-1.454007499999999897e+00,1.034999999999999920e+00,6.450000000000000178e-01
1.344144999999999932e-03,7.895438000000000282e-05,1.075524999999999919e-03,1.849590000000000023e-05,7.542548999999999738e-05,3.200000000000000000e+01,1.978535817000000065e+02,-1.426769673899999979e+00,1.978535817000000065e+02,-1.426769699999999919e+00,2.017999999999999794e+00,1.485999999999999988e+00
1.545661000000000040e-04,3.020367999999999878e-05,1.076092999999999971e-03,1.849590000000000023e-05,4.759780000000000022e-05,5.000000000000000000e+00,1.978773309800000106e+02,-1.462447484299999934e+00,1.978773309999999981e+02,-1.462447499999999900e+00,7.790000000000000258e-01,5.669999999999999485e-01
2.249589999999999988e-04,3.487620999999999723e-05,1.075599999999999907e-03,1.849590000000000023e-05,3.648350999999999791e-05,6.000000000000000000e+00,1.978382777399999952e+02,-1.402961669099999975e+00,1.978382776999999919e+02,-1.402961700000000089e+00,1.237999999999999989e+00,5.939999999999999725e-01
3.700309999999999949e-04,4.271446000000000303e-05,1.075575000000000055e-03,1.849590000000000023e-05,6.697595000000000035e-05,1.000000000000000000e+01,1.978384106000000031e+02,-1.402524016399999907e+00,1.978384106000000031e+02,-1.402524000000000104e+00,1.044999999999999929e+00,8.149999999999999467e-01
